,region,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,state
13122,ventura county,2177,apartment,980,2,1.0,1,1,0,0,0,0,laundry on site,carport,ca
13123,ventura county,1990,apartment,850,2,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
13124,ventura county,1847,apartment,740,1,1.0,1,1,0,0,0,0,laundry on site,carport,ca
13125,ventura county,1762,apartment,486,0,1.0,1,1,0,0,0,0,laundry on site,carport,ca
13126,ventura county,1839,apartment,740,1,1.0,1,1,0,0,0,0,laundry on site,carport,ca
13127,ventura county,1797,apartment,740,1,1.0,1,1,0,0,0,0,laundry on site,carport,ca
13128,ventura county,1990,apartment,850,2,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
13129,ventura county,2260,apartment,1050,3,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13130,ventura county,1990,apartment,850,2,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
13131,ventura county,2305,apartment,961,2,2.0,1,1,0,1,0,0,w/d in unit,attached garage,ca
13133,ventura county,1500,house,3200,3,2.0,0,0,1,0,0,0,w/d hookups,off-street parking,ca
13136,ventura county,2650,townhouse,1275,2,2.5,1,1,0,0,1,0,w/d in unit,attached garage,ca
13137,ventura county,2150,apartment,893,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13138,ventura county,2000,house,1000,2,1.0,0,0,1,0,0,0,w/d in unit,detached garage,ca
13139,ventura county,2485,apartment,1173,2,2.0,1,1,1,0,0,0,w/d in unit,attached garage,ca
13140,ventura county,1780,apartment,624,1,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
13141,ventura county,2150,apartment,893,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13142,ventura county,2485,apartment,1173,2,2.0,1,1,1,0,0,0,w/d in unit,attached garage,ca
13143,ventura county,2150,apartment,893,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13144,ventura county,2150,apartment,893,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13146,ventura county,1780,apartment,624,1,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
13147,ventura county,2150,apartment,898,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13148,ventura county,1780,apartment,624,1,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
13149,ventura county,2225,apartment,955,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13150,ventura county,2130,apartment,945,2,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
13151,ventura county,2250,apartment,794,1,1.0,1,1,0,1,1,0,w/d in unit,attached garage,ca
13152,ventura county,2745,apartment,1407,3,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13153,ventura county,1850,duplex,860,1,1.0,0,0,0,0,0,0,laundry on site,street parking,ca
13154,ventura county,2185,apartment,962,2,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
13156,ventura county,1775,apartment,750,1,1.0,1,0,0,0,0,0,w/d in unit,carport,ca
13157,ventura county,2485,apartment,1173,2,2.0,1,1,1,0,0,0,w/d in unit,attached garage,ca
13158,ventura county,1430,apartment,650,0,1.0,1,0,0,0,0,0,laundry on site,carport,ca
13159,ventura county,2000,apartment,850,2,1.5,1,1,1,0,0,0,laundry on site,carport,ca
13162,ventura county,1775,apartment,750,1,1.0,1,0,0,0,0,0,w/d in unit,carport,ca
13163,ventura county,2798,apartment,1275,2,2.0,1,1,0,0,0,0,laundry in bldg,carport,ca
13164,ventura county,2395,apartment,1239,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13165,ventura county,2098,apartment,1075,2,2.0,1,1,0,0,0,0,laundry in bldg,carport,ca
13167,ventura county,2280,apartment,962,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13168,ventura county,2050,apartment,898,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13169,ventura county,1625,in-law,658,1,1.0,1,1,0,0,0,0,w/d in unit,off-street parking,ca
13170,ventura county,2700,apartment,1382,3,2.5,1,1,1,0,0,0,w/d in unit,attached garage,ca
13172,ventura county,2602,apartment,978,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13173,ventura county,2177,apartment,1084,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13175,ventura county,3999,apartment,1515,3,2.0,1,1,0,1,1,0,w/d in unit,attached garage,ca
13177,ventura county,2012,apartment,681,1,1.0,1,1,0,1,0,0,w/d in unit,attached garage,ca
13179,ventura county,2876,apartment,1066,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13180,ventura county,1585,apartment,450,1,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
13181,ventura county,2485,apartment,1173,2,2.0,1,1,1,0,0,0,w/d in unit,attached garage,ca
13182,ventura county,2602,apartment,978,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13183,ventura county,3342,apartment,1239,2,2.0,1,1,0,1,1,0,w/d in unit,attached garage,ca
13184,ventura county,1905,apartment,756,1,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
13187,ventura county,2395,apartment,1239,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13188,ventura county,2700,apartment,1382,3,2.5,1,1,1,0,0,0,w/d in unit,attached garage,ca
13189,ventura county,1775,apartment,750,1,1.0,1,0,1,0,0,0,w/d in unit,carport,ca
13190,ventura county,1795,apartment,600,0,1.0,1,1,0,0,1,0,w/d in unit,carport,ca
13192,ventura county,2125,apartment,849,1,1.0,1,1,0,0,1,0,w/d in unit,carport,ca
13194,ventura county,2375,apartment,1077,2,1.5,1,1,0,0,0,0,w/d in unit,carport,ca
13195,ventura county,2602,apartment,978,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13196,ventura county,2060,apartment,900,2,1.5,1,1,0,0,0,0,w/d hookups,carport,ca
13197,ventura county,3350,townhouse,1700,4,2.5,1,1,0,0,0,0,w/d hookups,attached garage,ca
13198,ventura county,2099,townhouse,1050,2,1.5,1,1,0,0,0,0,w/d hookups,carport,ca
13200,ventura county,2140,apartment,1006,2,2.0,1,1,1,0,0,0,laundry on site,carport,ca
13201,ventura county,1830,apartment,700,1,1.0,1,1,1,0,0,0,laundry on site,carport,ca
13202,ventura county,1935,apartment,851,1,1.0,1,1,1,0,0,0,laundry on site,carport,ca
13215,ventura county,2795,apartment,1407,3,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13218,ventura county,2501,apartment,978,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13223,ventura county,2395,apartment,1239,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13224,ventura county,1780,apartment,700,1,1.0,1,1,1,0,0,0,laundry on site,carport,ca
13225,ventura county,2485,apartment,1173,2,2.0,1,1,1,0,0,0,w/d in unit,attached garage,ca
13226,ventura county,2485,apartment,1173,2,2.0,1,1,1,0,0,0,w/d in unit,attached garage,ca
13227,ventura county,1913,apartment,772,1,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
13228,ventura county,1780,apartment,624,1,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
13229,ventura county,2000,apartment,650,2,1.5,1,1,1,0,0,0,laundry on site,carport,ca
13231,ventura county,3100,apartment,1090,2,1.5,1,1,1,0,0,0,laundry on site,carport,ca
13232,ventura county,2345,apartment,1047,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13233,ventura county,1715,apartment,594,1,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
13234,ventura county,2700,apartment,1382,3,2.5,1,1,1,0,0,0,w/d in unit,attached garage,ca
13236,ventura county,2300,apartment,962,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13237,ventura county,2295,townhouse,990,2,2.0,0,0,1,0,0,0,laundry in bldg,carport,ca
13239,ventura county,1775,apartment,750,1,1.0,1,0,1,0,0,0,w/d in unit,carport,ca
13240,ventura county,2700,apartment,1382,3,2.5,1,1,1,0,0,0,w/d in unit,attached garage,ca
13241,ventura county,3500,house,2095,3,3.0,1,1,1,0,0,0,w/d in unit,attached garage,ca
13242,ventura county,2025,apartment,975,2,1.5,1,1,0,0,0,0,laundry on site,carport,ca
13244,ventura county,1350,house,530,1,1.0,0,0,0,0,0,0,no laundry on site,street parking,ca
13248,ventura county,2250,condo,838,2,1.0,1,1,1,0,0,0,w/d in unit,attached garage,ca
13249,ventura county,2485,apartment,1173,2,2.0,1,1,1,0,0,0,w/d in unit,attached garage,ca
13250,ventura county,2303,apartment,961,2,2.0,1,1,0,1,0,0,w/d in unit,attached garage,ca
13251,ventura county,2250,condo,1300,3,2.0,0,0,1,0,0,0,laundry on site,detached garage,ca
13252,ventura county,2485,apartment,1173,2,2.0,1,1,1,0,0,0,w/d in unit,attached garage,ca
13253,ventura county,2195,apartment,962,2,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
13254,ventura county,1900,apartment,646,1,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
13255,ventura county,2280,apartment,825,2,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
13256,ventura county,2165,apartment,895,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13257,ventura county,2140,apartment,893,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13258,ventura county,2567,apartment,1201,3,2.0,1,1,0,1,0,0,w/d in unit,attached garage,ca
13259,ventura county,2275,apartment,1064,2,2.0,1,1,0,1,0,0,w/d in unit,off-street parking,ca
13261,ventura county,2140,apartment,893,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13262,ventura county,2150,apartment,898,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13263,ventura county,2950,apartment,1090,2,1.5,1,1,1,0,0,0,laundry on site,carport,ca
13265,ventura county,2125,apartment,940,2,2.0,1,0,0,0,0,0,w/d hookups,carport,ca
13267,ventura county,2150,apartment,893,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13268,ventura county,4000,house,1924,4,2.0,1,1,1,0,0,0,w/d in unit,attached garage,ca
13271,ventura county,2395,apartment,1239,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13272,ventura county,2700,apartment,1382,3,2.5,1,1,1,0,0,0,w/d in unit,attached garage,ca
13274,ventura county,2501,apartment,988,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13275,ventura county,2345,apartment,1047,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13276,ventura county,2280,apartment,825,2,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
13277,ventura county,1900,apartment,646,1,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
13278,ventura county,2165,apartment,895,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13279,ventura county,4314,apartment,1595,2,2.0,1,1,0,1,1,0,w/d in unit,attached garage,ca
13281,ventura county,2650,townhouse,1275,2,2.5,1,1,0,0,1,0,w/d in unit,attached garage,ca
13282,ventura county,2890,apartment,1237,3,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13284,ventura county,2395,apartment,1239,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13285,ventura county,2485,apartment,1173,2,2.0,1,1,1,0,0,0,w/d in unit,attached garage,ca
13292,ventura county,2886,apartment,1066,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13295,ventura county,1900,apartment,756,1,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
13296,ventura county,2795,apartment,1407,3,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13297,ventura county,1679,apartment,550,1,1.0,1,1,0,0,0,0,laundry on site,carport,ca
13298,ventura county,3350,townhouse,1700,4,2.5,1,1,0,0,0,0,w/d hookups,attached garage,ca
13300,ventura county,2012,apartment,681,1,1.0,1,1,0,1,0,0,w/d in unit,attached garage,ca
13301,ventura county,2300,condo,924,2,1.0,0,0,0,0,0,0,w/d in unit,attached garage,ca
13304,ventura county,1740,apartment,708,1,1.0,1,1,1,0,0,0,laundry on site,carport,ca
13305,ventura county,1675,apartment,708,1,1.0,1,1,1,0,0,0,laundry on site,carport,ca
13306,ventura county,1740,apartment,708,1,1.0,1,1,1,0,0,0,laundry on site,carport,ca
13307,ventura county,2135,apartment,1078,2,1.0,1,1,1,0,0,0,laundry on site,carport,ca
13309,ventura county,2274,apartment,1084,2,2.0,1,1,1,1,0,0,w/d in unit,carport,ca
13310,ventura county,2795,apartment,1407,3,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13311,ventura county,2280,apartment,962,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13314,ventura county,2795,apartment,1407,3,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13315,ventura county,3100,apartment,1090,2,1.5,1,1,1,0,0,0,laundry on site,carport,ca
13317,ventura county,2950,apartment,1090,2,1.5,1,1,1,0,0,0,laundry on site,carport,ca
13318,ventura county,3799,apartment,1544,2,2.0,1,1,0,1,1,0,w/d in unit,attached garage,ca
13326,ventura county,2395,apartment,1239,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13327,ventura county,2100,condo,855,2,2.0,1,0,1,0,0,1,w/d in unit,carport,ca
13329,ventura county,2485,apartment,1173,2,2.0,1,1,1,0,0,0,w/d in unit,attached garage,ca
13330,ventura county,2435,apartment,1147,2,2.0,1,1,1,0,0,0,w/d in unit,detached garage,ca
13338,ventura county,2485,apartment,1173,2,2.0,1,1,1,0,0,0,w/d in unit,attached garage,ca
13340,ventura county,2795,apartment,1407,3,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13341,ventura county,2195,apartment,962,2,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
13342,ventura county,1913,apartment,772,1,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
13344,ventura county,2000,house,1500,2,1.0,0,0,0,0,0,1,laundry on site,off-street parking,ca
13345,ventura county,2485,apartment,1173,2,2.0,1,1,1,0,0,0,w/d in unit,attached garage,ca
13347,ventura county,2185,apartment,955,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13351,ventura county,2180,apartment,895,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13352,ventura county,2180,apartment,895,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13353,ventura county,2180,apartment,895,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13354,ventura county,2050,apartment,895,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13356,ventura county,1920,apartment,646,1,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
13359,ventura county,2795,apartment,1407,3,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13362,ventura county,1980,apartment,850,2,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
13365,ventura county,2270,apartment,1050,3,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13366,ventura county,1990,apartment,850,2,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
13368,ventura county,2260,apartment,1050,3,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13369,ventura county,2293,apartment,961,2,2.0,1,1,0,1,0,0,w/d in unit,attached garage,ca
13370,ventura county,2950,apartment,1090,2,1.5,1,1,1,0,0,0,laundry on site,carport,ca
13371,ventura county,2602,apartment,978,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13372,ventura county,2280,apartment,962,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13373,ventura county,2345,apartment,1047,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13374,ventura county,4500,house,2190,4,4.0,0,0,0,0,0,1,w/d in unit,attached garage,ca
13376,ventura county,2475,apartment,1012,2,2.0,1,1,0,0,0,0,w/d in unit,carport,ca
13377,ventura county,2395,apartment,1239,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13378,ventura county,1775,apartment,750,1,1.0,1,0,0,0,0,0,w/d in unit,carport,ca
13379,ventura county,2345,apartment,1047,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13383,ventura county,1730,apartment,594,1,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
13384,ventura county,3015,apartment,1395,3,2.0,1,1,1,0,0,0,w/d in unit,attached garage,ca
13385,ventura county,2595,apartment,1237,3,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13387,ventura county,1900,apartment,756,1,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
13388,ventura county,2999,apartment,1163,2,2.0,1,1,0,1,0,0,w/d in unit,attached garage,ca
13391,ventura county,2800,house,1668,4,2.0,1,1,1,0,0,0,w/d hookups,attached garage,ca
13392,ventura county,2345,apartment,1047,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13396,ventura county,1850,duplex,780,2,1.0,1,1,0,0,0,0,w/d in unit,detached garage,ca
13399,ventura county,4575,apartment,1651,2,2.0,1,1,0,1,1,0,w/d in unit,detached garage,ca
13401,visalia-tulare,1400,townhouse,1500,3,2.5,1,1,0,0,0,0,w/d hookups,attached garage,ca
13406,ventura county,2377,apartment,1084,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13407,ventura county,2012,apartment,681,1,1.0,1,1,0,1,0,0,w/d in unit,attached garage,ca
13410,ventura county,2485,apartment,1173,2,2.0,1,1,1,0,0,0,w/d in unit,street parking,ca
13412,ventura county,2195,apartment,962,2,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
13413,ventura county,2602,apartment,978,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13414,ventura county,2270,apartment,1050,3,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13415,ventura county,1990,apartment,850,2,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
13417,ventura county,2260,apartment,1050,3,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13420,ventura county,1765,apartment,714,1,1.0,1,1,0,0,1,0,w/d in unit,carport,ca
13429,ventura county,2485,apartment,1173,2,2.0,1,1,1,0,0,0,w/d in unit,attached garage,ca
13434,ventura county,3600,townhouse,2581,4,3.0,1,1,1,0,0,0,w/d in unit,attached garage,ca
13436,ventura county,2602,apartment,978,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13437,ventura county,2345,apartment,1047,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13438,ventura county,2876,apartment,1066,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13439,ventura county,2280,apartment,962,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13440,ventura county,3048,apartment,1284,1,1.0,1,1,0,1,1,0,w/d in unit,attached garage,ca
13441,ventura county,3500,house,3288,5,4.0,1,1,0,0,0,0,w/d hookups,attached garage,ca
13442,ventura county,2485,apartment,1173,2,2.0,1,1,1,0,0,0,w/d in unit,attached garage,ca
13444,ventura county,1913,apartment,772,1,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
13445,ventura county,3999,apartment,1515,3,2.0,1,1,0,1,1,0,w/d in unit,attached garage,ca
13446,ventura county,3950,house,3909,4,3.5,1,1,0,0,0,0,w/d hookups,attached garage,ca
13447,ventura county,3100,apartment,1090,2,1.5,1,1,1,0,0,0,laundry on site,no parking,ca
13448,ventura county,1675,apartment,500,1,1.0,1,1,1,0,0,0,laundry on site,carport,ca
13449,ventura county,2950,apartment,1090,2,1.5,1,1,1,0,0,0,laundry on site,carport,ca
13450,ventura county,1780,apartment,700,1,1.0,1,1,1,0,0,0,laundry on site,carport,ca
13451,ventura county,2270,apartment,1050,3,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13452,ventura county,2065,apartment,1006,2,2.0,1,1,1,0,0,0,laundry on site,carport,ca
13453,ventura county,2185,apartment,1160,2,2.0,1,1,1,0,0,0,laundry on site,carport,ca
13454,ventura county,2140,apartment,1006,2,2.0,1,1,1,0,0,0,laundry on site,carport,ca
13456,ventura county,3200,house,1000,2,2.0,1,1,0,0,0,0,w/d in unit,off-street parking,ca
13457,ventura county,2295,townhouse,990,2,2.0,0,0,1,0,0,0,laundry in bldg,carport,ca
13458,ventura county,2485,apartment,1173,2,2.0,1,1,1,0,0,0,w/d in unit,attached garage,ca
13460,ventura county,1920,apartment,646,1,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
13461,ventura county,2375,house,1500,3,2.0,1,1,1,0,0,0,w/d in unit,off-street parking,ca
13463,ventura county,2180,apartment,895,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13464,ventura county,2080,apartment,895,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13465,ventura county,2080,apartment,895,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13466,ventura county,1920,apartment,646,1,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
13467,ventura county,2185,apartment,955,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13469,ventura county,1095,apartment,450,1,1.0,0,0,1,0,0,0,laundry in bldg,carport,ca
13470,ventura county,2395,apartment,1239,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13471,ventura county,2876,apartment,1066,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13472,ventura county,2195,apartment,962,2,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
13473,ventura county,2795,apartment,1407,3,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13474,ventura county,2293,apartment,961,2,2.0,1,1,0,1,0,0,w/d in unit,attached garage,ca
13475,ventura county,2295,apartment,1047,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13477,ventura county,2645,apartment,1319,3,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13478,ventura county,2633,apartment,1237,1,1.0,1,1,1,0,0,1,w/d in unit,carport,ca
13479,ventura county,2483,apartment,1084,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13482,ventura county,1795,apartment,600,0,1.0,1,1,0,0,1,0,w/d in unit,carport,ca
13485,ventura county,2125,apartment,849,1,1.0,1,1,0,0,1,0,w/d in unit,carport,ca
13486,ventura county,2375,apartment,1077,2,1.5,1,0,0,0,0,0,w/d in unit,carport,ca
13487,ventura county,1800,apartment,650,1,1.0,1,1,1,0,0,0,laundry on site,carport,ca
13488,ventura county,4467,apartment,1461,2,1.0,1,1,0,1,1,0,w/d in unit,attached garage,ca
13489,ventura county,2450,apartment,1508,3,2.5,0,0,0,0,0,0,w/d in unit,attached garage,ca
13492,ventura county,2025,apartment,975,2,1.5,1,1,0,0,0,0,laundry on site,carport,ca
13495,ventura county,1900,apartment,756,1,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
13497,ventura county,2345,apartment,1047,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13498,ventura county,2130,apartment,945,2,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
13499,ventura county,1985,apartment,850,2,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
13500,ventura county,2270,apartment,1050,3,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13501,ventura county,1985,apartment,850,2,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
13502,ventura county,2270,apartment,1050,3,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13505,ventura county,2245,apartment,989,2,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
13506,visalia-tulare,1405,townhouse,1090,3,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13507,ventura county,2280,apartment,962,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13508,ventura county,1775,apartment,750,1,1.0,1,0,0,0,0,0,w/d in unit,carport,ca
13509,ventura county,2745,apartment,1407,3,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13512,ventura county,2025,apartment,975,2,1.5,1,1,0,0,0,0,laundry on site,carport,ca
13513,ventura county,2876,apartment,1066,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13514,ventura county,2270,apartment,1050,3,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13515,ventura county,1925,apartment,680,1,1.0,1,1,1,0,0,0,laundry on site,carport,ca
13516,ventura county,1925,apartment,680,1,1.0,1,1,1,0,0,0,laundry on site,carport,ca
13518,ventura county,1750,apartment,900,1,1.0,1,0,0,0,0,0,laundry on site,street parking,ca
13519,ventura county,2195,apartment,962,2,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
13520,ventura county,1962,apartment,681,1,1.0,1,1,0,1,0,0,w/d in unit,attached garage,ca
13522,ventura county,1675,apartment,500,1,1.0,1,1,1,0,0,0,laundry on site,carport,ca
13523,ventura county,1775,apartment,594,1,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
13525,ventura county,3048,apartment,1284,1,1.0,1,1,0,1,1,0,w/d in unit,attached garage,ca
13526,ventura county,1560,apartment,500,1,1.0,1,1,1,0,0,0,laundry on site,carport,ca
13527,ventura county,1935,apartment,1050,2,2.0,1,1,1,0,0,0,laundry on site,carport,ca
13528,ventura county,2065,apartment,1006,2,2.0,1,1,1,0,0,0,laundry on site,carport,ca
13529,ventura county,1913,apartment,772,1,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
13530,ventura county,1780,apartment,700,1,1.0,1,1,1,0,0,0,laundry on site,carport,ca
13531,ventura county,1935,apartment,851,1,1.0,1,1,1,0,0,0,laundry on site,carport,ca
13532,ventura county,2140,apartment,1006,2,2.0,1,1,1,0,0,0,laundry on site,carport,ca
13533,ventura county,1775,apartment,750,1,1.0,1,0,1,0,0,0,w/d in unit,carport,ca
13534,ventura county,2000,apartment,850,2,1.5,1,1,1,0,0,0,laundry on site,carport,ca
13535,ventura county,1845,apartment,703,1,1.0,1,1,1,0,0,0,laundry on site,carport,ca
13536,ventura county,1525,apartment,675,1,1.0,0,0,1,0,0,0,laundry on site,detached garage,ca
13540,ventura county,2025,apartment,975,2,1.5,1,1,0,0,0,0,laundry on site,carport,ca
13542,ventura county,2355,apartment,932,2,2.0,1,1,0,0,0,0,w/d in unit,carport,ca
13546,ventura county,1775,apartment,750,1,1.0,1,0,0,0,0,0,w/d in unit,carport,ca
13547,ventura county,2876,apartment,1066,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13548,ventura county,2414,apartment,1147,2,2.0,1,1,1,0,0,0,w/d in unit,detached garage,ca
13549,ventura county,2025,apartment,975,2,1.5,1,1,0,0,0,0,laundry on site,carport,ca
13550,ventura county,2968,apartment,1395,3,2.0,1,1,1,0,0,0,w/d in unit,attached garage,ca
13551,ventura county,2180,apartment,895,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13552,ventura county,2180,apartment,895,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13553,ventura county,2220,apartment,895,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13554,ventura county,2440,apartment,1058,2,2.0,1,1,1,0,0,0,w/d in unit,detached garage,ca
13555,ventura county,3000,condo,1807,2,2.0,0,1,0,0,0,1,w/d in unit,detached garage,ca
13556,ventura county,2059,apartment,699,1,1.0,1,1,1,0,0,0,w/d in unit,attached garage,ca
13557,ventura county,1850,house,660,1,1.0,0,0,1,0,0,0,w/d in unit,off-street parking,ca
13559,ventura county,2220,apartment,895,2,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13560,ventura county,2147,apartment,818,1,1.0,1,1,1,0,0,0,w/d in unit,detached garage,ca
13561,ventura county,1920,apartment,646,1,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
13562,ventura county,2270,apartment,1050,3,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13563,ventura county,1985,apartment,850,2,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
13564,ventura county,1985,apartment,850,2,1.0,1,1,1,0,0,0,w/d in unit,carport,ca
13565,ventura county,2260,apartment,1050,3,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
13566,ventura county,2260,apartment,1050,3,2.0,1,1,1,0,0,0,w/d in unit,carport,ca
