region,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,state,ER,sqfeet/p,price/p,laundry_score,parking_score
reno / tahoe,1800,apartment,1303,3,2.0,1,1,0,0,0,0,w/d in unit,carport,ca,3,434.3333333333333,600.0,5,4
reno / tahoe,1599,apartment,978,2,2.0,1,1,0,0,0,0,w/d in unit,carport,ca,2,489.0,799.5,5,4
reno / tahoe,1399,apartment,823,1,1.0,1,1,0,0,0,0,w/d in unit,attached garage,ca,1,823.0,1399.0,5,6
reno / tahoe,895,duplex,582,1,1.0,0,0,0,0,0,0,no laundry on site,off-street parking,ca,1,582.0,895.0,1,3
reno / tahoe,1430,apartment,1037,3,2.0,1,1,1,0,0,0,w/d in unit,carport,ca,3,345.6666666666667,476.6666666666667,5,4
reno / tahoe,974,apartment,600,1,1.0,1,0,1,0,0,0,laundry on site,off-street parking,ca,1,600.0,974.0,2,3
reno / tahoe,1400,house,1226,3,2.0,0,0,1,0,0,0,w/d hookups,attached garage,ca,3,408.6666666666667,466.6666666666667,4,6
reno / tahoe,1025,apartment,750,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking,ca,1,750.0,1025.0,2,3
reno / tahoe,899,apartment,640,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking,ca,1,640.0,899.0,2,3
reno / tahoe,1290,apartment,950,2,2.0,1,1,1,0,0,0,laundry on site,carport,ca,2,475.0,645.0,2,4
sacramento,1249,apartment,480,1,1.0,1,1,1,0,0,0,w/d in unit,carport,ca,1,480.0,1249.0,5,4
reno / tahoe,1148,apartment,1078,3,2.0,1,1,0,0,0,0,w/d in unit,carport,ca,3,359.3333333333333,382.6666666666667,5,4
reno / tahoe,982,apartment,919,2,2.0,0,0,1,0,0,0,w/d in unit,carport,ca,2,459.5,491.0,5,4
reno / tahoe,1995,house,17951,3,2.0,0,0,1,0,0,0,w/d hookups,attached garage,ca,3,5983.666666666667,665.0,4,6
reno / tahoe,1350,manufactured,1584,4,2.0,0,0,1,0,0,0,w/d hookups,attached garage,ca,4,396.0,337.5,4,6
reno / tahoe,1695,house,1447,3,2.0,0,0,0,0,0,0,w/d hookups,attached garage,ca,3,482.3333333333333,565.0,4,6
reno / tahoe,1295,condo,930,2,2.0,0,0,0,0,0,0,w/d in unit,carport,ca,2,465.0,647.5,5,4
reno / tahoe,2195,house,3115,4,3.0,0,0,0,0,0,0,w/d hookups,attached garage,ca,4,778.75,548.75,4,6
reno / tahoe,2047,apartment,1500,3,2.0,1,1,1,0,0,0,w/d in unit,attached garage,ca,3,500.0,682.3333333333334,5,6
reno / tahoe,1395,duplex,988,2,1.0,1,1,0,0,0,0,w/d hookups,detached garage,ca,2,494.0,697.5,4,5
reno / tahoe,1495,duplex,1192,3,1.0,1,1,0,0,0,0,w/d hookups,detached garage,ca,3,397.3333333333333,498.3333333333333,4,5
reno / tahoe,1709,apartment,1083,2,2.0,1,1,1,0,0,0,w/d in unit,attached garage,ca,2,541.5,854.5,5,6
sacramento,1000,apartment,710,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking,ca,1,710.0,1000.0,2,3
